test_position,cifar10h_index,true_entropy,true_top_class,true_top_prob,disagreement_source_category,notes
1097,6792,2.3715109825134277,cat,0.3199999928474426,(ambiguous_object_identity / poor_image_quality / multi_object / boundary_case / other),(your reasoning)
1294,3357,2.1417224407196045,cat,0.41999998688697815,(ambiguous_object_identity / poor_image_quality / multi_object / boundary_case / other),(your reasoning)
1567,7238,2.129016876220703,deer,0.40740740299224854,(ambiguous_object_identity / poor_image_quality / multi_object / boundary_case / other),(your reasoning)
1455,3910,1.9972857236862183,bird,0.4117647111415863,(ambiguous_object_identity / poor_image_quality / multi_object / boundary_case / other),(your reasoning)
252,5709,1.912662148475647,bird,0.48076921701431274,(ambiguous_object_identity / poor_image_quality / multi_object / boundary_case / other),(your reasoning)
359,4299,1.9046409130096436,bird,0.49056604504585266,(ambiguous_object_identity / poor_image_quality / multi_object / boundary_case / other),(your reasoning)
1638,2903,1.8868908882141113,bird,0.5686274766921997,(ambiguous_object_identity / poor_image_quality / multi_object / boundary_case / other),(your reasoning)
446,8542,1.8439549207687378,cat,0.4399999976158142,(ambiguous_object_identity / poor_image_quality / multi_object / boundary_case / other),(your reasoning)
1549,9924,1.8385628461837769,deer,0.6399999856948853,(ambiguous_object_identity / poor_image_quality / multi_object / boundary_case / other),(your reasoning)
927,5213,1.8368747234344482,cat,0.5882353186607361,(ambiguous_object_identity / poor_image_quality / multi_object / boundary_case / other),(your reasoning)
585,2078,1.7994282245635986,bird,0.4285714328289032,(ambiguous_object_identity / poor_image_quality / multi_object / boundary_case / other),(your reasoning)
283,46,1.7630176544189453,cat,0.46000000834465027,(ambiguous_object_identity / poor_image_quality / multi_object / boundary_case / other),(your reasoning)
578,4965,1.6761209964752197,deer,0.5769230723381042,(ambiguous_object_identity / poor_image_quality / multi_object / boundary_case / other),(your reasoning)
621,5562,1.6617122888565063,deer,0.42307692766189575,(ambiguous_object_identity / poor_image_quality / multi_object / boundary_case / other),(your reasoning)
1912,9386,1.6543562412261963,bird,0.3799999952316284,(ambiguous_object_identity / poor_image_quality / multi_object / boundary_case / other),(your reasoning)
1414,2066,1.6510974168777466,bird,0.6200000047683716,(ambiguous_object_identity / poor_image_quality / multi_object / boundary_case / other),(your reasoning)
1752,3139,1.6452053785324097,bird,0.692307710647583,(ambiguous_object_identity / poor_image_quality / multi_object / boundary_case / other),(your reasoning)
15,8809,1.6386096477508545,frog,0.46000000834465027,(ambiguous_object_identity / poor_image_quality / multi_object / boundary_case / other),(your reasoning)
902,9795,1.6327199935913086,deer,0.5098039507865906,(ambiguous_object_identity / poor_image_quality / multi_object / boundary_case / other),(your reasoning)
147,8872,1.6083906888961792,airplane,0.4716981053352356,(ambiguous_object_identity / poor_image_quality / multi_object / boundary_case / other),(your reasoning)
